,1,2,3,4,Players Sent,Players Received,Year,Month,Day
701, Cougars, • Reg Noble," • $7,500 cash",Maroons,1,1,1927,10,04
702, Maroons," • $7,500 cash", • Reg Noble,Cougars,1,1,1927,10,04
703, Americans, • future considerations (Bill Holmes on 1928-10-29), • Mickey Roach,NiagaraFalls(Can-Pro),1,1,1927,10,05
705, Maroons, • Hooley Smith, • Harry Broadbent / Punch Broadbent• $22.5K cash,Senators,2,1,1927,10,07
706, Senators, • Harry Broadbent / Punch Broadbent• $22.5K cash, • Hooley Smith,Maroons,1,2,1927,10,07
707, Cougars, • Stan Brown, • Archie Briden• Harry Meeking,Rangers(perRangersmediaguide),2,1,1927,10,10
708, Rangers, • Archie Briden• Harry Meeking, • Stan Brown,Cougars(perRangersmediaguide),1,2,1927,10,10
709, Cougars, • Stan Brown, • Archie Briden,Rangers(perRedWingsmediaguide),1,1,1927,10,10
710, Rangers, • Archie Briden, • Stan Brown,Cougars(perRedWingsmediaguide),1,1,1927,10,10
711, Cougars, • cash, • Jim Riley,DetroitOlympics(Can-Pro),1,1,1927,10,11
712, Americans, • cash, • rights to Laurie Scott,Rangers,1,1,1927,10,13
713, Rangers, • rights to Laurie Scott, • cash,Americans,1,1,1927,10,13
714, Americans, • Billy Boucher, • cash,Canadiens,1,1,1927,10,17
715, Canadiens, • cash, • Billy Boucher,Americans,1,1,1927,10,17
717, Maple Leafs, • Gerry Lowery, • Albert Pudas / Al Pudas,London(Can-Pro),1,1,1927,10,20
718, Bruins, • Nobby Clark• Norm Gainor / Dutch Gainor, • Billy Stuart / Red Stuart• cash• and future considerations (?),Minneapolis(AHA),3,2,1927,10,24
720, Bruins, • Dit Clapper, • cash,Boston(Can-Am),1,1,1927,10,25
721, Maple Leafs, • Ed Gorman, • cash,Senators,1,1,1927,10,26
722, Senators, • cash, • Ed Gorman,MapleLeafs,1,1,1927,10,26
725, Cougars, • Harvey Rockburn, • cash,Stratford(Can-Pro),1,1,1927,10,31
729, Rangers, • Art Chapman, • cash,Windsor(Can-Pro),1,1,1927,11,01
734, Maple Leafs, • cash, • Art Duncan,Pirates,1,1,1927,11,05
735, Pirates, • Art Duncan, • cash,MapleLeafs,1,1,1927,11,05
736, Rangers, • cash, • Reg Mackey,BostonTigers(Can-Am),1,1,1927,11,08
737, Rangers, • cash, • rights to Ollie Reinikka,StratfordNationals(Can-Pro),1,1,1927,11,11
738, Blackhawks, • Ty Arbour, • Eddie Rodden,"3-teamMapleLeafs,Pirates(dateapproximate)",1,1,1927,12,01
739, Maple Leafs, • Eddie Rodden, • Bert McCaffery / Bert McCaffrey,"3-teamBlackhawks,Pirates(dateapproximate)",1,1,1927,12,01
740, Pirates, • Bert McCaffery / Bert McCaffrey, • Ty Arbour,"3-teamBlackhawks,MapleLeafs(dateapproximate)",1,1,1927,12,01
741, Pirates, • cash, • Mickey McGuire,Windsor(Can-Pro),1,1,1927,12,01
743, Americans, • cash, • loan of Jake Forbes,Providence(Can-Am),1,1,1927,12,07
744, Blackhawks, • Duke Keats," • Gord Fraser• $5,000 cash",Cougars,2,1,1927,12,16
745, Canadiens, • loan of Charlie Langlois for remainder of 1927-28 season, • loan of Marty Burke for remainder of 1927-28 season,Pirates,1,1,1927,12,16
746, Cougars," • Gord Fraser• $5,000 cash", • Duke Keats,Blackhawks,1,2,1927,12,16
747, Pirates, • loan of Marty Burke for remainder of 1927-28 season, • loan of Charlie Langlois for remainder of 1927-28 season,Canadiens,1,1,1927,12,16
748, Cougars, • cash, • Frank Sheppard,StPaul(AHA),1,1,1927,12,19
750, Bruins," • rights to Eric Pettinger• $15,000 cash", • Jim Herberts / Jimmy Herberts,MapleLeafs,1,2,1927,12,21
751, Maple Leafs, • Jim Herberts / Jimmy Herberts," • rights to Eric Pettinger• $15,000 cash",Bruins,2,1,1927,12,21
752, Bruins, • Cooney Weiland, • cash,Minneapolis(AHA),1,1,1927,12,23
753, Blackhawks, • loan of Leo Lafrance, • cash,Canadiens,1,1,1927,12,30
754, Canadiens, • cash, • loan of Leo Lafrance,Blackhawks,1,1,1927,12,30
755, Maple Leafs, • loan of Ben Grant (Benny Grant), • cash,London(Can-Pro)(dateapproximate),1,1,1928,01,01
756, Bruins, • cash, • Nobby Clark• Billy Coutu,NewHaven(Can-Am),2,1,1928,01,05
759, Americans, • cash, • Joe Ironstone,Toronto(Can-Pro),1,1,1928,01,06
760, Canadiens, • cash, • Art Gauthier,London(Can-Pro),1,1,1928,01,10
761, Red Wings, • Frank Foyston, • cash,DetroitOlympics(Can-Pro),1,1,1928,01,10
762, Blackhawks, • Amby Moran• future considerations (Val Hoffinger / Doc Hoffinger on 1928-01-23), • Ted Graham / Teddy Graham,MooseJaw(PrHL),1,2,1928,01,11
763, Blackhawks, • Eddie McCalmon• Earl Miller, • Corbett Denneny• Nick Wasnie,Saskatoon(PrHL),2,2,1928,01,11
767, Americans, • cash, • loan of Joe Miller (a),NiagaraFalls(Can-Pro),1,1,1928,02,07
768, Canadiens, • George Patterson, • cash,MapleLeafs,1,1,1928,02,08
769, Maple Leafs, • cash, • George Patterson,Canadiens,1,1,1928,02,08
770, Canadiens, • Stan Brown, • loan of Pete Palangio• cash,Cougars,2,1,1928,02,13
771, Cougars, • loan of Pete Palangio• cash, • Stan Brown,Canadiens(Windsor-Can-Pro),1,2,1928,02,13
772, Maple Leafs, • cash, • Ed Gorman,Kitchener(Can-Pro),1,1,1928,02,13
773, Maroons, • Fred Brown, • Bill Touhey,Stratford(Can-Pro)withMaroonsholdingrightofrecall,1,1,1928,02,14
775, Maple Leafs," • rights to Jack Arbour• $12,500 cash", • Jim Herberts / Jimmy Herberts,RedWings,1,2,1928,04,08
777, Red Wings, • Jim Herberts / Jimmy Herberts," • rights to Jack Arbour• $12,500 cash",MapleLeafs,2,1,1928,04,08
778, Americans, • cash, • loan of Joe Miller (a) for the remainder of Stanley Cup Finals,Rangers,1,1,1928,04,10
779, Rangers, • loan of Joe Miller (a) for the remainder of Stanley Cup Finals, • cash,Americans,1,1,1928,04,10
780, Maple Leafs, • Alex Gray / Peanuts Gray, • Butch Keeling,Rangers(perGrayLOH)(date07-17perRangersmediaguide),1,1,1928,04,16
